d,time_sum_alg1,time_sum_alg2,max_time_alg1,max_time_alg2,min_time_alg1,min_time_alg2,time_var_alg1,time_var_alg2
4,2.99E-05,0.000389493,0.000997543,0.001040936,0,0,2.89E-08,2.37E-07
5,8.96E-05,0.000598376,0.00099802,0.001028776,0,0,8.12E-08,2.39E-07
6,0.00022011,0.000738704,0.001031876,0.001993895,0,0,1.72E-07,2.12E-07
7,0.000319791,0.001067269,0.001029968,0.003023863,0,0,2.17E-07,4.01E-07
8,0.000717108,0.001388459,0.001094818,0.003026724,0,0,2.00E-07,4.39E-07
9,0.001605675,0.002035286,0.005021811,0.006005287,0,0.000963688,6.74E-07,9.10E-07
10,0.004143629,0.002808931,0.00900197,0.012001038,0,0.000962019,2.97E-06,2.77E-06
11,0.00835012,0.003895798,0.015958071,0.018918276,0.002991676,0.000998259,5.71E-06,6.11E-06
12,0.017655354,0.004479928,0.035903454,0.021916866,0.003989935,0.00196147,2.58E-05,1.07E-05
13,0.039977326,0.005552974,0.072804213,0.024959087,0.01496768,0,9.46E-05,1.38E-05
14,0.085439794,0.00669946,0.169366837,0.032912016,0.031915188,0,0.000434533,2.11E-05
15,0.190064597,0.007762644,0.267522335,0.062487841,0.101559877,0,0.001011404,8.96E-05
16,0.441779191,0.009099393,0.568310976,0.046899557,0.284543514,0,0.004657762,8.64E-05
17,1.001372981,0.012943454,1.691930294,0.078118801,0.392165899,0,0.035186077,0.000141883
18,1.942093379,0.016269767,2.425672293,0.20304656,0.919939756,0,0.100599748,0.000700435
19,4.325876265,0.022239008,5.223302603,0.171785593,2.524792433,0,0.359332096,0.000483072
20,8.57200763,0.026597877,10.75932169,0.093746424,4.403628826,0,2.025994055,0.000382208
21,18.39997392,0.049382603,21.34890795,0.208383083,11.94693303,0,6.071637672,0.001738009
22,37.10470271,0.076321754,43.92463064,0.204675674,19.59297037,0,27.03108843,0.003404952
23,79.37524257,0.14417989,92.85835218,0.517051935,48.02847171,0,108.5238036,0.014692414
24,165.4958142,0.383044498,196.6656909,3.412183285,96.85096121,0,623.3998098,0.201226338
